collision_date,year,mo,NUM_injuries,NUM_deaths
2012-07-01,2012,7,1,0
2012-07-01,2012,7,4,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,3,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,8,0
2012-07-01,2012,7,2,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,2,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,2,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,3,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,3,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,2,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,6,0
2012-07-01,2012,7,2,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,5,0
2012-07-01,2012,7,3,0
2012-07-01,2012,7,4,0
2012-07-01,2012,7,3,0
2012-07-01,2012,7,2,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,3,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,4,0
2012-07-01,2012,7,3,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,2,0
2012-07-01,2012,7,2,0
2012-07-01,2012,7,6,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,2,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-01,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,4,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,11,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,0,1
2012-07-02,2012,7,3,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,3,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,3,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,4,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,2,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,3,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,3,0
2012-07-02,2012,7,1,0
2012-07-02,2012,7,3,0
2012-07-03,2012,7,0,1
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,5,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,3,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,4,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,5,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,7,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,3,0
2012-07-03,2012,7,2,0
2012-07-03,2012,7,1,0
2012-07-03,2012,7,1,0
