day,collision_date,NUM_COLLISIONS
7,2012-07-01,538
1,2012-07-02,564
2,2012-07-03,664
3,2012-07-04,432
4,2012-07-05,591
5,2012-07-06,638
6,2012-07-07,490
7,2012-07-08,464
1,2012-07-09,533
2,2012-07-10,524
3,2012-07-11,565
4,2012-07-12,577
5,2012-07-13,603
6,2012-07-14,536
7,2012-07-15,494
1,2012-07-16,528
2,2012-07-17,648
3,2012-07-18,559
4,2012-07-19,522
5,2012-07-20,604
6,2012-07-21,528
7,2012-07-22,498
1,2012-07-23,505
2,2012-07-24,574
3,2012-07-25,612
4,2012-07-26,604
5,2012-07-27,637
6,2012-07-28,513
7,2012-07-29,376
1,2012-07-30,530
2,2012-07-31,540
3,2012-08-01,615
4,2012-08-02,570
5,2012-08-03,589
6,2012-08-04,568
7,2012-08-05,518
1,2012-08-06,593
2,2012-08-07,547
3,2012-08-08,528
4,2012-08-09,581
5,2012-08-10,617
6,2012-08-11,507
7,2012-08-12,505
1,2012-08-13,504
2,2012-08-14,520
3,2012-08-15,602
4,2012-08-16,613
5,2012-08-17,574
6,2012-08-18,540
7,2012-08-19,467
1,2012-08-20,473
2,2012-08-21,482
3,2012-08-22,504
4,2012-08-23,574
5,2012-08-24,601
6,2012-08-25,474
7,2012-08-26,471
1,2012-08-27,548
2,2012-08-28,587
3,2012-08-29,550
4,2012-08-30,618
5,2012-08-31,701
6,2012-09-01,515
7,2012-09-02,421
1,2012-09-03,373
2,2012-09-04,606
3,2012-09-05,601
4,2012-09-06,572
5,2012-09-07,680
6,2012-09-08,598
7,2012-09-09,464
1,2012-09-10,637
2,2012-09-11,521
3,2012-09-12,651
4,2012-09-13,632
5,2012-09-14,609
6,2012-09-15,557
7,2012-09-16,458
1,2012-09-17,452
2,2012-09-18,556
3,2012-09-19,612
4,2012-09-20,522
5,2012-09-21,654
6,2012-09-22,547
7,2012-09-23,480
1,2012-09-24,562
2,2012-09-25,593
3,2012-09-26,404
4,2012-09-27,620
5,2012-09-28,703
6,2012-09-29,485
7,2012-09-30,449
1,2012-10-01,555
