collision_date,latitude,longitude,zip_code,contributing_factor_vehicle_1
2019-12-01,40.83146,-73.89976,10456,Unspecified
2019-12-01,40.880527,-73.901794,,Following Too Closely
2019-12-01,40.886505,-73.861206,10466,Unsafe Lane Changing
2019-12-01,40.820984,-73.891624,10459,Unspecified
2019-12-01,40.827744,-73.89457,10459,Following Too Closely
2019-12-01,40.86369,-73.91707,,Failure to Yield Right-of-Way
2019-12-01,40.811478,-73.91694,10454,Unspecified
2019-12-01,40.868885,-73.91569,,Unspecified
2019-12-01,40.86234,-73.910995,,Passing Too Closely
2019-12-01,40.83058,-73.827385,,Turning Improperly
2019-12-01,40.898273,-73.8505,10466,Driver Inattention/Distraction
2019-12-01,40.8047,-73.91243,,Unspecified
2019-12-01,40.841133,-73.924,10452,Other Vehicular
2019-12-01,40.816486,-73.89028,10474,Unspecified
2019-12-01,40.837894,-73.88138,,Following Too Closely
2019-12-01,40.847557,-73.91623,,Unspecified
2019-12-01,40.853477,-73.82622,,Unsafe Lane Changing
2019-12-01,40.877796,-73.86806,,Driver Inattention/Distraction
2019-12-01,40.869335,-73.8255,10475,Unspecified
2019-12-01,40.847332,-73.831375,10461,Unspecified
2019-12-01,40.88473,-73.81571,,Driver Inattention/Distraction
2019-12-01,40.839146,-73.85896,,Alcohol Involvement
2019-12-01,40.823776,-73.88765,10459,Unspecified
2019-12-01,,,10463,Driver Inattention/Distraction
2019-12-01,40.85681,-73.89818,10458,Unspecified
2019-12-01,40.870346,-73.9044,10463,Pavement Slippery
2019-12-01,40.850468,-73.844765,10461,Following Too Closely
2019-12-01,,,10453,Pavement Slippery
2019-12-01,40.86282,-73.826,10475,Pavement Slippery
2019-12-01,40.8905,-73.831154,10466,Driver Inattention/Distraction
2019-12-01,40.86774,-73.85955,10469,Other Vehicular
2019-12-01,40.860897,-73.889854,10458,Driver Inattention/Distraction
2019-12-01,40.879948,-73.82339,10475,Glare
2019-12-01,40.835716,-73.8775,10472,Backing Unsafely
2019-12-01,40.855385,-73.9181,,Following Too Closely
2019-12-01,40.87151,-73.87057,10467,Turning Improperly
2019-12-01,40.89608,-73.86692,10470,Driver Inattention/Distraction
2019-12-01,,,10458,Driver Inattention/Distraction
2019-12-01,40.823494,-73.86415,10473,Unspecified
2019-12-01,40.815342,-73.93067,10451,Passing or Lane Usage Improper
2019-12-01,40.859642,-73.899826,10468,Following Too Closely
2019-12-01,40.8617,-73.89139,,Turning Improperly
2019-12-01,40.814934,-73.91496,10455,Other Vehicular
2019-12-01,40.83378,-73.84832,10462,Following Too Closely
2019-12-01,40.870388,-73.90153,10468,Unspecified
2019-12-01,40.85958,-73.86653,10467,Pavement Slippery
2019-12-01,40.85401,-73.87187,10460,Other Vehicular
2019-12-01,40.84434,-73.91475,,Turning Improperly
2019-12-01,40.816864,-73.882744,10474,Unspecified
2019-12-01,40.842083,-73.92011,10452,Backing Unsafely
2019-12-01,40.884228,-73.8934,10463,Pavement Slippery
2019-12-02,40.879055,-73.87439,10467,Passing Too Closely
2019-12-02,40.88647,-73.89603,,Driver Inattention/Distraction
2019-12-02,40.844105,-73.898,,Following Too Closely
2019-12-02,40.84843,-73.91299,,Unspecified
