collision_date,latitude,longitude,zip_code,contributing_factor_vehicle_1
2020-06-01,40.678936,-74.001915,11231,Driver Inattention/Distraction
2020-06-01,40.677155,-73.86887,,Other Vehicular
2020-06-01,40.656208,-73.93088,11203,Unspecified
2020-06-01,40.716972,-73.9608,11249,Aggressive Driving/Road Rage
2020-06-01,40.68983,-73.97863,11201,Traffic Control Disregarded
2020-06-01,40.67816,-73.897484,,Unspecified
2020-06-01,40.671875,-73.963585,11238,Driver Inattention/Distraction
2020-06-01,40.69764,-73.92932,,Following Too Closely
2020-06-01,40.694107,-73.89737,,Passing Too Closely
2020-06-01,40.689598,-73.91025,11207,Passing Too Closely
2020-06-01,40.6049,-73.954636,11229,Unspecified
2020-06-01,40.67722,-73.89708,11207,Unspecified
2020-06-01,40.696033,-73.98453,11201,Unspecified
2020-06-01,40.64437,-73.89959,11236,Unspecified
2020-06-01,40.655743,-73.91701,11212,Unspecified
2020-06-01,40.66925,-73.93944,,Driver Inattention/Distraction
2020-06-01,40.59781,-73.99938,11214,Driver Inattention/Distraction
2020-06-01,40.731613,-73.9545,11222,Driver Inattention/Distraction
2020-06-01,40.71406,-73.95292,,Driver Inexperience
2020-06-01,40.585976,-73.98799,,Unspecified
2020-06-01,40.59192,-73.99401,,Backing Unsafely
2020-06-01,40.696983,-73.935234,,Passing or Lane Usage Improper
2020-06-01,40.69024,-73.9482,,Driver Inattention/Distraction
2020-06-01,40.711216,-73.94043,11206,Passing Too Closely
2020-06-01,40.61004,-73.95531,11229,Unspecified
2020-06-01,40.618603,-73.99293,11204,Unspecified
2020-06-01,40.670013,-73.908585,11212,Unspecified
2020-06-01,40.62002,-73.941734,,Following Too Closely
2020-06-01,40.690598,-73.95805,11205,Backing Unsafely
2020-06-01,40.62096,-73.924164,11234,Driver Inattention/Distraction
2020-06-01,40.676636,-73.88144,11208,Driver Inattention/Distraction
2020-06-01,40.66367,-73.91213,11212,Unspecified
2020-06-01,40.690598,-73.95805,11205,Outside Car Distraction
2020-06-01,40.64993,-73.93312,11203,Turning Improperly
2020-06-01,40.655457,-73.92883,11203,Driver Inattention/Distraction
2020-06-01,40.618248,-73.94526,11210,Driver Inattention/Distraction
2020-06-01,40.674397,-73.896515,11207,Unspecified
2020-06-01,40.680214,-73.94628,11216,Driver Inattention/Distraction
2020-06-01,40.681564,-73.89432,11207,Failure to Yield Right-of-Way
2020-06-01,40.696354,-73.94071,,Following Too Closely
2020-06-01,40.675438,-73.88638,11207,Driver Inattention/Distraction
2020-06-01,40.677364,-73.90798,11233,Failure to Yield Right-of-Way
2020-06-01,40.667168,-73.88087,11208,Driver Inattention/Distraction
2020-06-01,40.68218,-73.94659,11216,Failure to Yield Right-of-Way
2020-06-01,40.6665,-73.9962,,Unspecified
2020-06-01,40.679485,-73.94682,,Traffic Control Disregarded
2020-06-01,40.641884,-74.0065,,Driver Inattention/Distraction
2020-06-01,40.636734,-73.89831,11236,Failure to Yield Right-of-Way
2020-06-01,40.59877,-73.953476,11229,Driver Inattention/Distraction
2020-06-01,40.711365,-73.97897,,Unsafe Speed
2020-06-01,40.606182,-73.9655,11223,Unspecified
2020-06-01,40.62572,-74.04072,11209,Driver Inattention/Distraction
2020-06-01,40.64601,-73.91035,11236,Driver Inattention/Distraction
2020-06-01,40.595715,-73.96508,11223,Unspecified
2020-06-01,40.69864,-73.93819,,Turning Improperly
2020-06-01,40.698116,-73.977325,11201,Unspecified
2020-06-01,40.613476,-74.003784,11214,Traffic Control Disregarded
2020-06-02,40.734962,-73.95709,11222,Backing Unsafely
2020-06-02,40.67298,-73.88852,,Unspecified
2020-06-02,40.605057,-73.999,,View Obstructed/Limited
2020-06-02,,,11215,Unsafe Speed
2020-06-02,40.657406,-73.89881,,Driver Inattention/Distraction
2020-06-02,40.57796,-73.994,11224,Unspecified
2020-06-02,40.666595,-73.87176,11208,Other Vehicular
2020-06-02,40.696033,-73.98453,11201,Driver Inattention/Distraction
2020-06-02,40.669724,-73.86097,11208,Following Too Closely
2020-06-02,40.683025,-73.987495,11217,Turning Improperly
2020-06-02,40.65583,-73.92079,11212,Driver Inattention/Distraction
2020-06-02,40.72456,-73.92958,11222,Unspecified
2020-06-02,40.60102,-73.95755,11229,Unspecified
2020-06-02,40.678345,-73.985435,11215,Oversized Vehicle
2020-06-02,40.70476,-73.91996,,Backing Unsafely
2020-06-02,40.675755,-73.95977,,Other Vehicular
2020-06-02,40.660755,-73.87611,11208,Brakes Defective
2020-06-02,40.698463,-73.960205,11205,Driver Inattention/Distraction
2020-06-02,40.690193,-73.92419,11221,Other Vehicular
2020-06-02,40.67944,-73.89714,,Following Too Closely
2020-06-02,40.653202,-73.96054,11226,Driver Inattention/Distraction
2020-06-02,40.675293,-73.9993,11231,Following Too Closely
2020-06-02,40.666737,-73.90224,11212,Unsafe Speed
2020-06-02,40.637466,-74.02829,,Unspecified
2020-06-02,40.686787,-73.867165,11208,Unspecified
2020-06-02,40.62138,-73.926865,11234,Driver Inattention/Distraction
2020-06-02,40.673824,-73.90839,11233,Unspecified
2020-06-02,40.67677,-73.88949,11207,Unspecified
2020-06-02,40.66807,-73.950676,11225,Reaction to Uninvolved Vehicle
2020-06-02,40.62598,-73.893074,,Passing or Lane Usage Improper
2020-06-02,40.63524,-73.967636,11230,Unspecified
2020-06-02,40.62707,-74.01865,,Following Too Closely
2020-06-02,40.667145,-73.89948,11207,Unspecified
2020-06-02,40.64319,-73.95649,11226,Unspecified
2020-06-02,40.65534,-73.89549,11207,Obstruction/Debris
2020-06-02,40.64855,-73.89313,11236,Unspecified
2020-06-02,40.630577,-73.88591,,Unsafe Lane Changing
2020-06-02,40.677357,-73.88687,,Driver Inattention/Distraction
2020-06-02,40.637566,-73.926155,11234,Unspecified
2020-06-02,40.66871,-73.91731,11212,Unspecified
2020-06-02,40.677834,-73.88509,,Unspecified
2020-06-02,40.689007,-73.874695,11208,Unspecified
2020-06-02,40.646328,-73.91276,,Unspecified
2020-06-02,40.598053,-73.976776,11223,Driver Inattention/Distraction
2020-06-02,40.609196,-74.004234,,Traffic Control Device Improper/Non-Working
2020-06-02,40.683956,-73.98956,11201,Backing Unsafely
2020-06-02,40.64479,-74.01433,11220,Driver Inattention/Distraction
2020-06-02,40.63461,-74.01576,11220,Unspecified
2020-06-02,40.712593,-73.967735,,Following Too Closely
2020-06-02,40.656017,-73.92355,11212,Unsafe Speed
2020-06-02,40.704876,-73.95571,11211,Unspecified
2020-06-02,40.578194,-73.99204,11224,Outside Car Distraction
2020-06-02,40.63083,-73.90736,,Unspecified
2020-06-02,40.680172,-73.945724,11216,Driver Inattention/Distraction
2020-06-02,40.65303,-73.92569,11203,Backing Unsafely
2020-06-02,40.63535,-73.94794,11210,Driver Inattention/Distraction
2020-06-02,40.608204,-73.920715,,Reaction to Uninvolved Vehicle
2020-06-02,40.67265,-73.91963,11233,Unspecified
2020-06-02,40.63532,-74.02324,11220,Alcohol Involvement
2020-06-02,40.587852,-73.94679,11235,Driver Inexperience
2020-06-02,40.69584,-73.98241,11201,Aggressive Driving/Road Rage
2020-06-02,40.61078,-73.96933,11230,Driver Inattention/Distraction
2020-06-03,40.654995,-73.928795,11203,Unspecified
2020-06-03,40.718243,-73.961365,11249,Unspecified
2020-06-03,40.64681,-73.951065,11226,Unspecified
2020-06-03,40.705246,-73.9297,11237,Fell Asleep
2020-06-03,40.651863,-73.86536,,Unspecified
2020-06-03,40.673985,-73.90697,11212,Unspecified
2020-06-03,40.64254,-73.87652,,Following Too Closely
2020-06-03,40.69349,-73.97917,11201,Brakes Defective
2020-06-03,40.65316,-73.92085,11236,Backing Unsafely
2020-06-03,40.695847,-73.96588,,Other Vehicular
2020-06-03,40.5987,-73.95127,11229,Driver Inattention/Distraction
2020-06-03,40.65505,-73.95631,11226,Unspecified
2020-06-03,40.677624,-73.93308,11213,Driver Inattention/Distraction
2020-06-03,40.63981,-73.995514,11219,Fell Asleep
2020-06-03,40.669067,-73.86555,,Other Vehicular
2020-06-03,40.623882,-73.9782,11204,Unspecified
2020-06-03,40.640373,-73.89702,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
2020-06-03,40.66423,-73.919106,,Unspecified
2020-06-03,40.677296,-73.87682,11208,Driver Inattention/Distraction
2020-06-03,40.651264,-74.003914,11232,Driver Inattention/Distraction
2020-06-03,40.62736,-73.97321,11230,Driver Inattention/Distraction
2020-06-03,40.609707,-74.011284,,Driver Inattention/Distraction
2020-06-03,40.62919,-73.98743,11204,Driver Inattention/Distraction
2020-06-03,40.677624,-73.93308,,Driver Inattention/Distraction
2020-06-03,40.584816,-73.95271,,Driver Inexperience
2020-06-03,40.665142,-73.88557,,Driver Inattention/Distraction
2020-06-03,40.685074,-73.9779,11217,Unspecified
2020-06-03,40.58489,-73.92885,,Driver Inexperience
2020-06-03,40.671505,-73.90734,11212,Driver Inattention/Distraction
2020-06-03,40.586002,-73.97221,11223,Unspecified
2020-06-03,40.68333,-73.95612,11238,Driver Inattention/Distraction
2020-06-03,40.634823,-74.02214,11220,Passing or Lane Usage Improper
2020-06-03,40.697697,-73.96502,11205,Reaction to Uninvolved Vehicle
2020-06-03,40.689976,-73.982765,11201,Backing Unsafely
2020-06-03,40.575623,-74.00082,11224,Driver Inattention/Distraction
2020-06-03,40.63554,-73.92284,,Unsafe Speed
2020-06-03,40.619408,-73.91208,11234,Unsafe Speed
2020-06-03,40.624462,-73.91153,11234,Driver Inattention/Distraction
2020-06-03,40.696667,-73.88682,,Pavement Slippery
2020-06-03,40.630577,-73.88591,,Unspecified
2020-06-03,40.626373,-73.99754,11219,Driver Inattention/Distraction
2020-06-03,40.626457,-73.918,11234,Failure to Yield Right-of-Way
2020-06-03,40.60459,-74.02212,,Unsafe Lane Changing
2020-06-03,40.64651,-73.9721,11218,Driver Inattention/Distraction
2020-06-03,40.65619,-73.930855,11203,Failure to Yield Right-of-Way
2020-06-03,40.61805,-73.98069,11204,Backing Unsafely
2020-06-03,40.629505,-73.94416,11210,Driver Inattention/Distraction
2020-06-03,40.686085,-73.982666,11217,Driver Inattention/Distraction
2020-06-03,40.687557,-73.93896,,Driver Inattention/Distraction
2020-06-03,40.662395,-73.93735,,Driver Inattention/Distraction
2020-06-03,40.68424,-73.95481,11216,Unspecified
2020-06-03,40.61222,-73.918846,11234,Unspecified
2020-06-03,40.697166,-73.893364,,Driver Inattention/Distraction
2020-06-03,40.70324,-73.92615,11237,Passing Too Closely
2020-06-03,40.71059,-73.95474,11211,Driver Inattention/Distraction
2020-06-03,40.685688,-73.91605,11233,Unspecified
2020-06-03,40.71453,-73.9444,11211,Unspecified
2020-06-03,40.637196,-73.88445,11236,Unspecified
2020-06-03,40.683044,-73.95766,11238,Unspecified
2020-06-03,40.618828,-73.928825,11234,Following Too Closely
2020-06-03,40.661522,-74.00008,,Unsafe Speed
2020-06-03,40.668377,-73.92012,11233,Following Too Closely
2020-06-03,40.665092,-73.899895,11207,Unspecified
2020-06-03,40.637615,-74.02054,,Unsafe Lane Changing
2020-06-03,40.613377,-73.955284,11230,Unspecified
2020-06-03,40.70212,-73.90959,,Traffic Control Disregarded
2020-06-03,40.71135,-73.96143,11211,Driver Inexperience
2020-06-03,40.6435,-73.99408,11219,Unspecified
2020-06-04,40.630283,-73.97816,11204,Alcohol Involvement
2020-06-04,40.659,-73.9114,11212,Passenger Distraction
2020-06-04,40.65109,-73.91389,11236,Driver Inattention/Distraction
2020-06-04,,,11235,Unsafe Speed
2020-06-04,40.607243,-73.98726,,Unsafe Speed
2020-06-04,40.68607,-73.91605,11221,Following Too Closely
2020-06-04,40.69168,-73.999344,,Following Too Closely
2020-06-04,40.67045,-73.98193,11215,Driver Inattention/Distraction
2020-06-04,40.643635,-73.93149,11203,Unsafe Speed
2020-06-04,40.702953,-73.91706,,Backing Unsafely
2020-06-04,40.671772,-73.93641,11213,Failure to Yield Right-of-Way
2020-06-04,40.658703,-73.854904,,Driver Inattention/Distraction
2020-06-04,40.67961,-73.98457,11217,Oversized Vehicle
2020-06-04,40.65487,-73.96191,11226,Other Vehicular
2020-06-04,40.607723,-73.95298,11229,Passing or Lane Usage Improper
2020-06-04,40.65753,-73.89797,11207,Failure to Yield Right-of-Way
2020-06-04,40.61768,-73.96925,11230,Driver Inattention/Distraction
2020-06-04,40.656475,-73.93285,11203,Failure to Yield Right-of-Way
2020-06-04,40.618977,-73.951225,11210,Driver Inattention/Distraction
2020-06-04,40.67922,-73.90405,11233,Unspecified
2020-06-04,40.67021,-73.898346,,Unspecified
2020-06-04,40.681778,-73.867836,11208,Unspecified
2020-06-04,40.593742,-73.96085,,Failure to Yield Right-of-Way
2020-06-04,40.63439,-73.89324,11236,Unspecified
2020-06-04,40.64477,-73.954735,11226,Unspecified
2020-06-04,40.66925,-73.93944,,Following Too Closely
2020-06-04,40.654327,-73.9221,11203,Other Vehicular
2020-06-04,,,11208,Unspecified
2020-06-04,40.675037,-73.930534,,Other Vehicular
2020-06-04,40.648106,-73.9504,11226,Turning Improperly
2020-06-04,40.69312,-73.96882,11205,Backing Unsafely
2020-06-04,40.678722,-73.952995,,Passing or Lane Usage Improper
2020-06-04,40.576157,-73.98902,11224,Backing Unsafely
2020-06-04,40.65081,-73.9493,11226,Turning Improperly
2020-06-04,40.67374,-73.88341,,Failure to Yield Right-of-Way
2020-06-04,40.67619,-73.9081,11233,Turning Improperly
2020-06-04,40.689373,-73.91632,11221,Failure to Yield Right-of-Way
2020-06-04,,,11218,Unspecified
2020-06-04,40.62579,-73.91791,11234,Unspecified
2020-06-04,40.639557,-74.00891,11220,Backing Unsafely
2020-06-04,40.65008,-73.96101,11226,Other Vehicular
2020-06-04,40.694275,-73.901855,,Unspecified
2020-06-04,40.674862,-73.882835,11208,Unspecified
2020-06-04,40.680775,-73.92631,11233,Unspecified
2020-06-04,40.591755,-73.9083,,Unsafe Lane Changing
2020-06-04,40.655113,-73.97709,11218,Brakes Defective
2020-06-04,40.57522,-73.997505,11224,Failure to Yield Right-of-Way
2020-06-04,40.61799,-73.971664,11230,Driver Inattention/Distraction
2020-06-04,40.65288,-73.90646,11236,Unspecified
2020-06-04,40.68731,-73.94761,11216,Traffic Control Disregarded
2020-06-04,40.605057,-73.999,11214,Passing Too Closely
2020-06-04,40.62967,-73.94739,11210,Unspecified
2020-06-04,40.583023,-73.95736,,Unsafe Speed
2020-06-04,40.724377,-73.94713,11222,Passing Too Closely
2020-06-04,40.658253,-73.98465,,Failure to Yield Right-of-Way
2020-06-04,40.61115,-73.929184,11234,Traffic Control Disregarded
2020-06-04,40.583626,-73.98407,,Reaction to Uninvolved Vehicle
2020-06-04,40.608204,-73.920715,,Following Too Closely
2020-06-04,40.6902,-73.94527,11216,Driver Inattention/Distraction
2020-06-04,40.65698,-73.88943,11207,Unspecified
2020-06-04,40.699482,-73.96104,11249,Passenger Distraction
2020-06-04,40.626305,-73.919945,11234,Failure to Yield Right-of-Way
2020-06-04,40.703632,-73.85587,,Driver Inattention/Distraction
2020-06-04,40.6848,-73.9138,,Passing Too Closely
2020-06-04,40.704163,-73.93736,11206,Passing Too Closely
2020-06-04,40.64124,-73.943726,,Driver Inattention/Distraction
2020-06-04,40.637405,-73.982475,11218,Driver Inattention/Distraction
2020-06-04,40.676243,-73.9091,11233,Following Too Closely
2020-06-04,40.67612,-73.904976,11233,
2020-06-04,40.638145,-73.88301,11236,Unsafe Speed
2020-06-04,40.67856,-73.889015,11207,Unspecified
2020-06-04,40.691433,-73.89063,,Failure to Yield Right-of-Way
2020-06-04,40.657215,-73.88962,11207,Other Vehicular
2020-06-04,40.662556,-73.91963,11212,Driver Inattention/Distraction
2020-06-04,40.6972,-73.952934,,Driver Inexperience
2020-06-04,40.69603,-73.943535,,Driver Inattention/Distraction
2020-06-04,40.702114,-73.86694,,Following Too Closely
2020-06-04,40.58667,-73.966156,11235,Driver Inattention/Distraction
2020-06-05,40.634914,-73.88453,11236,
2020-06-05,40.61622,-73.91475,11234,Unspecified
2020-06-05,40.678574,-73.916306,,Driver Inattention/Distraction
2020-06-05,40.68925,-73.92165,11221,Failure to Yield Right-of-Way
2020-06-05,40.68005,-73.94327,,Failure to Yield Right-of-Way
2020-06-05,40.701954,-73.958694,11211,Driver Inattention/Distraction
2020-06-05,40.686687,-73.86764,11208,Unspecified
2020-06-05,40.6338,-73.8897,,Unspecified
2020-06-05,40.59457,-73.95337,11229,Unspecified
2020-06-05,40.63524,-73.967636,11230,Unspecified
2020-06-05,40.66999,-73.884995,11207,Unsafe Speed
2020-06-05,40.691914,-73.88363,,Pavement Slippery
2020-06-05,40.6877,-73.91095,,Traffic Control Disregarded
2020-06-05,40.6427,-73.87661,,Unsafe Lane Changing
2020-06-05,40.695847,-73.908806,11237,Passing Too Closely
2020-06-05,40.646225,-74.00916,11220,Unspecified
2020-06-05,40.58036,-73.96761,11235,Unspecified
2020-06-05,40.678165,-73.94295,11216,Fatigued/Drowsy
2020-06-05,40.659912,-73.998604,11232,Following Too Closely
2020-06-05,40.660316,-73.913216,,Unsafe Speed
2020-06-05,40.672226,-73.94472,,Passing Too Closely
2020-06-05,40.628258,-73.94135,11210,Unspecified
2020-06-05,40.629505,-73.94416,11210,Following Too Closely
2020-06-05,40.672104,-73.96451,11238,Driver Inattention/Distraction
2020-06-05,40.683933,-73.91228,11207,Unspecified
2020-06-05,40.635853,-73.98596,11219,Unspecified
2020-06-05,,,11236,Passing or Lane Usage Improper
2020-06-05,40.684963,-73.935455,11221,Following Too Closely
2020-06-05,40.68389,-73.93823,,Passing Too Closely
2020-06-05,40.617287,-73.97786,11204,Driver Inattention/Distraction
2020-06-05,40.57702,-74.00946,11224,Backing Unsafely
2020-06-05,40.66151,-73.8702,11208,Unsafe Speed
2020-06-05,40.60365,-73.99204,11214,Driver Inattention/Distraction
2020-06-05,40.620304,-74.00743,11228,Failure to Yield Right-of-Way
2020-06-05,40.684395,-73.97835,11217,Unspecified
2020-06-05,40.64944,-73.96308,11226,Driver Inattention/Distraction
2020-06-05,40.657642,-73.8749,11208,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
2020-06-05,40.63531,-73.9005,11236,Turning Improperly
2020-06-05,40.648182,-73.93001,11203,Traffic Control Disregarded
2020-06-05,40.627632,-73.93652,11210,Turning Improperly
2020-06-05,40.644085,-73.92958,11203,Unspecified
2020-06-05,40.703915,-73.9409,11206,Driver Inattention/Distraction
2020-06-05,40.716362,-73.93788,11211,Passing or Lane Usage Improper
2020-06-05,40.695004,-73.9525,11205,Traffic Control Disregarded
2020-06-05,40.695908,-73.98322,11201,Unspecified
2020-06-05,40.655563,-73.87974,11207,Passenger Distraction
2020-06-05,40.669857,-73.95051,,Unsafe Speed
2020-06-05,40.676937,-73.89907,,Failure to Yield Right-of-Way
2020-06-05,40.65362,-73.933525,,Unspecified
2020-06-05,40.61773,-73.9051,11234,Driver Inattention/Distraction
2020-06-05,40.586716,-73.911194,,Unsafe Speed
2020-06-05,40.644512,-73.963135,,Backing Unsafely
2020-06-05,40.67308,-73.91124,,Driver Inexperience
2020-06-05,40.692562,-73.92799,,Passenger Distraction
2020-06-05,40.67578,-74.0014,,Following Too Closely
2020-06-05,40.66468,-73.95101,,Driver Inattention/Distraction
2020-06-05,40.705246,-73.95908,,Following Too Closely
2020-06-05,40.626007,-74.03883,11209,View Obstructed/Limited
2020-06-05,40.644478,-74.00022,11232,Unspecified
2020-06-05,40.59199,-73.93738,11235,Driver Inattention/Distraction
2020-06-05,40.61557,-73.99044,11204,Driver Inattention/Distraction
2020-06-05,40.665134,-73.99669,,Following Too Closely
2020-06-05,40.646515,-73.958115,,Driver Inattention/Distraction
2020-06-05,40.65896,-73.927246,11203,Driver Inattention/Distraction
2020-06-05,40.693695,-73.928024,11221,Driver Inattention/Distraction
2020-06-05,40.68949,-73.92207,11221,Unspecified
2020-06-05,40.63942,-73.9552,11226,Driver Inattention/Distraction
2020-06-05,40.703285,-73.950645,11206,Driver Inattention/Distraction
2020-06-05,,,11249,Other Vehicular
2020-06-05,40.66865,-73.93672,11213,Driver Inexperience
2020-06-05,40.634827,-73.9344,11210,Unspecified
2020-06-05,40.607643,-74.03375,,Reaction to Uninvolved Vehicle
2020-06-05,40.688766,-73.99907,,Pavement Slippery
2020-06-05,40.67153,-73.87442,11208,Following Too Closely
2020-06-05,40.68693,-73.95089,11216,Driver Inattention/Distraction
2020-06-05,40.646847,-73.950134,11226,Unspecified
2020-06-05,40.63765,-73.9528,,Unsafe Lane Changing
2020-06-05,40.687244,-73.95469,11216,Following Too Closely
2020-06-05,40.680695,-74.002975,,Unspecified
2020-06-05,40.67887,-73.92165,,Driver Inattention/Distraction
2020-06-05,40.60803,-73.960045,11229,Failure to Yield Right-of-Way
2020-06-05,40.665627,-73.92045,11212,Unspecified
2020-06-05,40.63232,-73.91069,11236,Other Vehicular
2020-06-05,40.6545,-73.88222,11207,Driver Inattention/Distraction
2020-06-05,40.6792,-73.9553,,Turning Improperly
2020-06-05,40.665173,-73.91931,11212,Steering Failure
2020-06-05,40.703632,-73.85587,,Failure to Yield Right-of-Way
2020-06-05,40.662544,-73.96201,11225,Driver Inattention/Distraction
2020-06-05,40.690426,-73.93355,,Unspecified
2020-06-05,40.675785,-73.90269,,Traffic Control Disregarded
2020-06-06,40.70276,-73.94546,11206,Driver Inattention/Distraction
2020-06-06,40.690647,-73.85839,,Driver Inattention/Distraction
2020-06-06,40.63782,-73.952965,11210,Unspecified
2020-06-06,40.68983,-73.97863,11201,Traffic Control Disregarded
2020-06-06,40.675537,-73.871,11208,Unsafe Lane Changing
2020-06-06,40.649567,-73.95471,,Unspecified
2020-06-06,40.69203,-73.94565,11221,Fell Asleep
2020-06-06,40.586117,-73.93604,,Unsafe Speed
2020-06-06,40.6323,-73.93702,11210,Driver Inattention/Distraction
2020-06-06,40.697254,-73.98597,11201,Unspecified
2020-06-06,40.596348,-73.93707,11229,Unspecified
2020-06-06,40.62011,-73.98103,11204,Unspecified
2020-06-06,40.651733,-73.93039,,Unspecified
2020-06-06,40.608902,-73.972145,11223,Unspecified
2020-06-06,40.608288,-73.97778,11204,Passing or Lane Usage Improper
2020-06-06,40.61626,-73.99309,11204,Driver Inattention/Distraction
2020-06-06,40.650806,-73.94958,,Failure to Yield Right-of-Way
2020-06-06,40.70029,-73.92904,11221,Unsafe Speed
2020-06-06,40.67553,-73.90163,11207,Failure to Yield Right-of-Way
2020-06-06,40.59865,-73.958115,11229,Unspecified
2020-06-06,40.676243,-73.90893,11233,Unspecified
2020-06-06,40.679276,-73.89496,11207,Illnes
2020-06-06,40.65249,-73.95267,11226,Reaction to Uninvolved Vehicle
2020-06-06,40.649635,-73.9379,11203,Unspecified
2020-06-06,40.58848,-73.9694,11223,Unspecified
2020-06-06,40.703526,-73.954216,11211,Unspecified
2020-06-06,40.698036,-73.962845,11205,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
2020-06-06,40.59787,-73.93362,11229,Unspecified
2020-06-06,40.63337,-73.88924,11236,Driver Inattention/Distraction
2020-06-06,40.700726,-73.94194,,Driver Inattention/Distraction
2020-06-06,40.598694,-74.00592,11214,Backing Unsafely
2020-06-06,40.675735,-73.89686,11207,Unsafe Lane Changing
2020-06-06,40.670956,-73.89174,11207,Unsafe Speed
2020-06-06,40.680454,-73.87611,,Failure to Yield Right-of-Way
2020-06-06,40.60757,-74.00316,11214,Unspecified
2020-06-06,40.657425,-73.99751,11232,Reaction to Uninvolved Vehicle
2020-06-06,40.63068,-74.01098,11220,Unspecified
2020-06-06,40.69644,-73.92228,11221,Unsafe Speed
2020-06-06,40.67944,-73.89714,,Following Too Closely
2020-06-06,40.68267,-73.88793,11207,Unspecified
2020-06-06,40.696014,-73.92153,,Alcohol Involvement
2020-06-06,40.68759,-73.96464,11238,Unsafe Speed
2020-06-06,40.647114,-73.94338,11203,Unspecified
2020-06-06,40.654053,-73.88749,11207,Backing Unsafely
2020-06-06,40.670532,-73.91488,11212,Following Too Closely
2020-06-06,40.69697,-73.90653,,Turning Improperly
2020-06-06,40.602646,-74.00746,,Driver Inattention/Distraction
