collision_date,latitude,longitude,zip_code,contributing_factor_vehicle_1
2019-12-01,40.676273,-73.938774,,Driver Inattention/Distraction
2019-12-01,40.656097,-73.93909,11203,Driver Inattention/Distraction
2019-12-01,40.696304,-73.96268,11205,Other Vehicular
2019-12-01,40.656063,-73.93957,,Aggressive Driving/Road Rage
2019-12-01,40.634674,-73.99607,11219,Unsafe Speed
2019-12-01,40.600815,-73.959366,11229,Backing Unsafely
2019-12-01,40.654984,-74.00711,,Following Too Closely
2019-12-01,40.61839,-73.917175,,Driver Inattention/Distraction
2019-12-01,40.69754,-73.98312,,Driver Inattention/Distraction
2019-12-01,40.64137,-73.87729,,Unsafe Speed
2019-12-01,40.62368,-73.99772,,Unsafe Lane Changing
2019-12-01,40.675888,-73.88649,11207,Following Too Closely
2019-12-01,40.611404,-74.00952,11228,Following Too Closely
2019-12-01,40.632095,-73.91861,11234,Driver Inattention/Distraction
2019-12-01,40.58345,-73.950386,11235,Unspecified
2019-12-01,40.7133,-73.96742,,Passenger Distraction
2019-12-01,40.67974,-73.89213,11207,Unspecified
2019-12-01,40.663124,-73.92237,11212,Unspecified
2019-12-01,40.654327,-73.9221,11203,Driver Inattention/Distraction
2019-12-01,40.69701,-73.99137,11201,Fell Asleep
2019-12-01,40.640408,-73.90241,11236,Unspecified
2019-12-01,40.622643,-73.8965,,Driver Inattention/Distraction
2019-12-01,40.655487,-73.90287,11212,Driver Inattention/Distraction
2019-12-01,40.695282,-73.940506,11206,Passing Too Closely
2019-12-01,40.678894,-73.893776,11207,Driver Inattention/Distraction
2019-12-01,40.661835,-73.89311,11207,Following Too Closely
2019-12-01,40.66725,-73.99455,,Failure to Yield Right-of-Way
2019-12-01,40.58525,-73.98728,11214,Backing Unsafely
2019-12-01,40.578983,-73.97528,11224,Driver Inattention/Distraction
2019-12-01,40.59783,-73.965485,11223,Failure to Yield Right-of-Way
2019-12-01,40.669857,-73.975784,11215,Driver Inattention/Distraction
2019-12-01,40.68993,-73.98148,11201,Turning Improperly
2019-12-01,40.614098,-73.95736,11230,Driver Inattention/Distraction
2019-12-01,40.64213,-73.92936,11203,Unspecified
2019-12-01,40.691704,-73.94849,11216,Other Vehicular
2019-12-01,40.628643,-74.005936,11219,Unspecified
2019-12-01,40.636734,-73.89831,11236,Unspecified
2019-12-01,40.652523,-73.93918,11203,Reaction to Uninvolved Vehicle
2019-12-01,40.668377,-73.92012,11233,Driver Inattention/Distraction
2019-12-01,40.681805,-73.88034,11208,Unspecified
2019-12-01,40.681995,-74.002625,,Passing Too Closely
2019-12-01,40.69909,-73.95608,11205,Passing Too Closely
2019-12-01,40.68993,-73.98148,11201,Passing Too Closely
2019-12-01,40.646023,-73.923965,11203,Driver Inattention/Distraction
2019-12-01,40.66276,-73.944214,11225,Unspecified
2019-12-01,40.62418,-73.97048,11230,Following Too Closely
2019-12-01,40.584755,-73.94712,,Driver Inattention/Distraction
2019-12-01,40.671516,-73.96208,11238,Backing Unsafely
2019-12-01,40.663517,-73.90238,11212,Driver Inattention/Distraction
2019-12-01,40.61865,-73.983665,11204,Unspecified
2019-12-01,40.6093,-73.95328,11229,Pavement Slippery
2019-12-01,40.64366,-73.90067,11236,Unspecified
2019-12-01,40.65317,-73.9616,11226,Backing Unsafely
2019-12-01,40.634914,-73.88453,11236,Unspecified
2019-12-01,40.697247,-73.932846,,Backing Unsafely
2019-12-01,40.676243,-73.95269,11216,Driver Inattention/Distraction
2019-12-01,40.59241,-73.95327,,Driver Inattention/Distraction
2019-12-01,40.674095,-73.911156,11233,Unspecified
2019-12-01,40.641083,-73.95623,11226,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
2019-12-01,40.711323,-73.94725,,Other Vehicular
2019-12-01,40.638485,-74.026855,11220,Passing or Lane Usage Improper
2019-12-01,40.690907,-73.95542,11205,Failure to Yield Right-of-Way
2019-12-01,40.649868,-73.93409,11203,Driver Inattention/Distraction
2019-12-01,40.683094,-73.91262,11233,Unspecified
2019-12-01,40.60144,-74.00155,11214,Failure to Yield Right-of-Way
2019-12-01,40.70753,-73.95376,11211,Failure to Yield Right-of-Way
2019-12-01,40.68286,-73.97278,11217,Unsafe Lane Changing
2019-12-01,40.62241,-74.02774,11209,Unsafe Lane Changing
2019-12-01,,,11212,Unspecified
2019-12-01,40.68629,-73.979095,11217,Unspecified
2019-12-01,40.5842,-73.98289,11223,Unspecified
2019-12-01,40.705666,-73.95914,11211,Following Too Closely
2019-12-01,40.637676,-73.8925,11236,Driver Inattention/Distraction
2019-12-01,40.63359,-73.973656,11218,Unspecified
2019-12-01,40.675404,-73.87192,,Backing Unsafely
2019-12-01,,,11203,Pavement Slippery
2019-12-01,40.639553,-73.93299,11203,Driver Inattention/Distraction
2019-12-01,40.64305,-73.89722,11236,Failure to Yield Right-of-Way
2019-12-01,40.593616,-73.95032,11229,Driver Inattention/Distraction
2019-12-01,40.635757,-73.99486,11219,Driver Inattention/Distraction
