collision_date,year,mo,da,day,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
2020-01-24,2020,01,24,5,37.3,33.7,1028.5,6.5,3.3,8,999.9,46.0,19.9,0.0,999.9,1,523
2020-01-13,2020,01,13,1,42.5,37.0,1029.6,9.5,9.2,13,999.9,57.0,39.9,0.01,999.9,0,473
2020-01-07,2020,01,07,2,39.0,26.6,1016.6,10.0,8,13,999.9,43.0,24.1,0.0,999.9,0,402
2020-01-15,2020,01,15,3,43.9,38.3,1019.4,8.2,5.4,14,15.0,51.1,35.1,0.02,999.9,1,506
2020-01-06,2020,01,06,1,33.5,24.0,1013.2,9.9,5.3,15,999.9,43.0,24.1,0.01,999.9,1,455
2020-01-03,2020,01,03,5,45.8,42.9,1010.3,7.0,10.3,15,999.9,46.9,33.1,0.0,999.9,1,452
2020-01-30,2020,01,30,4,31.6,19.4,1023.4,10.0,9.4,15,999.9,37.0,21.9,0.0,999.9,0,522
2020-01-26,2020,01,26,7,44.3,40.7,1006.4,6.5,13,19,28.0,51.1,36.0,0.44,999.9,1,395
2020-01-02,2020,01,02,4,39.6,28.9,1011.8,10.0,13,19,26.0,46.0,33.1,0.01,999.9,0,410
2020-01-20,2020,01,20,1,28.1,16.1,1015.1,10.0,15.7,20,27.0,46.9,21.9,0.04,999.9,0,389
2020-01-01,2020,01,01,3,40.3,29.9,1003.0,10.0,11.4,20,26.0,52.0,36.0,0.01,999.9,1,337
2020-01-25,2020,01,25,6,43.1,39.6,1023.5,9.0,12.3,20,28.9,48.9,28.0,0.0,999.9,1,383
2020-01-11,2020,01,11,6,49.4,46.1,1028.6,6.7,13.8,21,27.0,53.1,46.9,0.0,999.9,1,438
2020-01-09,2020,01,09,4,29.5,10.8,1030.7,10.0,15.3,22,35.0,42.1,24.1,0.34,999.9,0,517
2020-01-19,2020,01,19,7,41.2,35.8,1004.9,7.5,14.4,22,27.0,46.9,19.0,0.21,999.9,1,360
2020-01-12,2020,01,12,7,52.0,49.4,1017.2,2.9,19,26,36.9,55.9,44.6,0.0,999.9,1,387
2020-01-05,2020,01,05,7,40.1,33.8,1001.6,7.1,17,27,38.1,48.9,36.0,0.38,999.9,1,286
2020-01-22,2020,01,22,3,27.1,14.3,1029.8,10.0,4.2,8.9,999.9,34.0,17.1,0.0,999.9,0,489
2020-01-31,2020,01,31,5,29.8,22.3,1027.4,10.0,3.3,8.9,999.9,39.9,19.0,0.0,999.9,0,517
2014-01-17,2014,01,17,5,38.6,35.8,1014.8,6.7,3.7,8.9,999.9,44.1,32.0,0.0,999.9,1,589
2016-01-25,2016,01,25,1,33.5,21.2,1021.4,10.0,6.5,8.9,999.9,37.9,30.0,0.02,999.9,0,658
2020-01-14,2020,01,14,2,41.5,37.7,1026.2,8.8,5.3,8.9,999.9,44.1,37.9,0.0,999.9,0,497
2016-01-28,2016,01,28,4,35.0,24.4,1016.1,10.0,4.3,8.9,999.9,46.0,23.0,0.09,999.9,0,681
2013-01-13,2013,01,13,7,45.4,44.9,1020.7,4.3,5.8,9.9,999.9,46.9,44.1,0.01,999.9,1,373
2016-01-29,2016,01,29,5,41.3,36.8,999.4,10.0,5.9,9.9,999.9,45.0,23.0,0.0,999.9,0,645
