collision_date,NUM_injuries,NUM_deaths
2019-12-01,92,0
2019-12-02,133,1
2019-12-03,121,0
2019-12-04,90,0
2019-12-05,94,0
2019-12-06,67,0
2019-12-07,104,1
2019-12-08,82,1
2019-12-09,163,2
2019-12-10,114,0
2019-12-11,104,2
2019-12-12,99,0
2019-12-13,177,1
2019-12-14,106,0
2019-12-15,85,0
2019-12-16,87,0
2019-12-17,137,0
2019-12-18,100,2
2019-12-19,107,2
2019-12-20,140,2
2019-12-21,108,0
2019-12-22,107,0
2019-12-23,114,1
2019-12-24,100,0
2019-12-25,52,0
2019-12-26,97,1
2019-12-27,78,0
2019-12-28,69,1
2019-12-29,79,0
2019-12-30,99,0
2019-12-31,81,0
2020-01-01,77,0
2020-01-02,74,0
2020-01-03,95,1
2020-01-04,90,1
2020-01-05,64,0
2020-01-06,101,0
2020-01-07,100,1
2020-01-08,72,0
2020-01-09,106,0
2020-01-10,103,0
2020-01-11,88,1
2020-01-12,81,0
2020-01-13,91,0
2020-01-14,97,2
2020-01-15,94,1
2020-01-16,85,1
2020-01-17,83,1
2020-01-18,125,0
2020-01-19,53,0
2020-01-20,45,0
2020-01-21,108,0
2020-01-22,75,0
2020-01-23,88,0
2020-01-24,90,0
2020-01-25,84,1
2020-01-26,78,0
2020-01-27,58,0
2020-01-28,67,0
2020-01-29,95,0
2020-01-30,97,1
2020-01-31,95,0
2020-02-01,66,1
2020-02-02,66,0
2020-02-03,100,0
2020-02-04,87,0
2020-02-05,85,1
2020-02-06,124,1
2020-02-07,108,0
2020-02-08,63,0
2020-02-09,90,1
2020-02-10,134,0
2020-02-11,75,0
2020-02-12,68,0
2020-02-13,74,0
2020-02-14,89,0
2020-02-15,70,1
2020-02-16,79,0
2020-02-17,57,1
2020-02-18,89,1
2020-02-19,100,0
2020-02-20,92,0
2020-02-21,79,1
2020-02-22,74,0
2020-02-23,89,1
2020-02-24,83,1
2020-02-25,99,1
2020-02-26,83,0
2020-02-27,115,1
2020-02-28,80,0
2020-02-29,77,0
2020-03-01,74,1
