collision_date,latitude,longitude,zip_code,contributing_factor_vehicle_1
2019-12-21,40.717552,-73.73153,11429,Unspecified
2019-12-21,40.758236,-73.93702,11106,Driver Inattention/Distraction
2019-12-21,40.665916,-73.92547,,Passing or Lane Usage Improper
2019-12-21,40.734894,-73.803856,11365,Driver Inattention/Distraction
2019-12-21,40.6796,-73.80349,,Other Vehicular
2019-12-21,40.74604,-73.82609,11355,Turning Improperly
2019-12-21,40.764473,-73.747086,11363,Fell Asleep
2019-12-21,40.688473,-73.80857,,Other Vehicular
2019-12-21,40.674397,-73.896515,,Failure to Yield Right-of-Way
2019-12-21,40.67816,-73.897484,,Failure to Yield Right-of-Way
2019-12-21,40.743866,-73.82568,11355,Failure to Yield Right-of-Way
2019-12-21,40.673115,-73.80171,11420,Tire Failure/Inadequate
2019-12-21,40.667114,-73.834656,11417,Driver Inattention/Distraction
2019-12-21,40.71702,-73.830505,,Following Too Closely
2019-12-21,40.67405,-73.79793,11436,Other Vehicular
2019-12-21,40.713184,-73.82393,,Following Too Closely
2019-12-21,40.76113,-73.85851,,Passing or Lane Usage Improper
2019-12-21,40.752262,-73.89902,11377,Driver Inattention/Distraction
2019-12-21,40.677155,-73.86887,,Unspecified
2019-12-21,40.665737,-73.75194,,Passing or Lane Usage Improper
2019-12-21,40.758972,-73.91901,11103,Unspecified
2019-12-21,40.75892,-73.92566,,Failure to Yield Right-of-Way
2019-12-21,40.727226,-73.71051,11001,Unspecified
2019-12-21,40.666294,-73.80267,,Unsafe Speed
2019-12-21,40.69762,-73.808044,11435,Unspecified
2019-12-21,40.743484,-73.89908,11377,Driver Inattention/Distraction
2019-12-21,40.740273,-73.89586,11377,Driver Inattention/Distraction
2019-12-21,40.739273,-73.933716,11101,Failure to Yield Right-of-Way
2019-12-21,40.777824,-73.751366,11363,Unspecified
2019-12-21,40.753838,-73.805824,11358,Failure to Yield Right-of-Way
2019-12-21,40.71191,-73.908104,11385,Unspecified
2019-12-21,40.761772,-73.9134,11103,Failure to Keep Right
2019-12-21,40.77203,-73.8315,11354,Following Too Closely
2019-12-21,40.724,-73.82038,11367,Driver Inattention/Distraction
2019-12-21,40.75667,-73.828804,11355,Failure to Yield Right-of-Way
2019-12-21,40.666588,-73.80809,,Driver Inattention/Distraction
2019-12-21,40.667076,-73.78266,,Driver Inattention/Distraction
2019-12-21,40.753563,-73.794586,11358,Reaction to Uninvolved Vehicle
2019-12-21,40.7122,-73.86208,11385,Driver Inattention/Distraction
2019-12-21,40.746685,-73.871895,11373,Driver Inattention/Distraction
2019-12-21,40.578133,-73.84223,11694,Driver Inattention/Distraction
2019-12-21,40.69056,-73.8141,11419,Driver Inattention/Distraction
2019-12-21,40.69524,-73.8621,11421,Driver Inattention/Distraction
2019-12-21,40.75763,-73.82799,11355,Backing Unsafely
2019-12-21,40.746555,-73.82621,,Failure to Yield Right-of-Way
2019-12-21,40.691208,-73.813545,,Driver Inattention/Distraction
2019-12-21,40.74744,-73.885796,11372,Unsafe Lane Changing
2019-12-21,40.754032,-73.85338,11368,Driver Inattention/Distraction
2019-12-21,40.76532,-73.771904,11361,Failure to Yield Right-of-Way
2019-12-21,40.596,-73.77067,11691,Driver Inattention/Distraction
2019-12-21,40.75204,-73.85426,11368,Passing or Lane Usage Improper
2019-12-21,40.727226,-73.71051,11001,Driver Inattention/Distraction
2019-12-21,40.773037,-73.79566,,Backing Unsafely
2019-12-21,40.671345,-73.73199,11422,Unspecified
2019-12-21,40.743256,-73.718414,11426,Backing Unsafely
2019-12-21,40.69653,-73.73841,11411,Unspecified
2019-12-21,40.666832,-73.75448,11413,Unspecified
2019-12-21,40.788555,-73.78234,11360,Following Too Closely
2019-12-21,40.727875,-73.72772,11426,Failure to Yield Right-of-Way
2019-12-21,40.67431,-73.800644,,Driver Inattention/Distraction
2019-12-21,40.59683,-73.77257,11691,Backing Unsafely
2019-12-21,40.73347,-73.73614,11427,Unspecified
2019-12-21,40.752228,-73.93911,11101,Unspecified
2019-12-21,40.769966,-73.78844,11361,Passing Too Closely
2019-12-21,,,11368,Unsafe Lane Changing
2019-12-21,40.710537,-73.83766,,Driver Inattention/Distraction
2019-12-21,40.666477,-73.75091,11413,Unspecified
2019-12-21,40.7383,-73.70177,11001,Traffic Control Disregarded
2019-12-21,40.75487,-73.891884,11372,Driver Inattention/Distraction
2019-12-21,40.699764,-73.78285,11433,Unspecified
2019-12-21,40.737682,-73.85206,,Turning Improperly
2019-12-21,40.70825,-73.81322,11435,Driver Inattention/Distraction
2019-12-21,,,11368,Failure to Yield Right-of-Way
2019-12-21,40.771305,-73.87664,,Passing or Lane Usage Improper
2019-12-21,40.760464,-73.826546,11354,Passing Too Closely
2019-12-21,40.58754,-73.81139,11693,Backing Unsafely
2019-12-21,40.666405,-73.802635,,Driver Inattention/Distraction
2019-12-21,40.685654,-73.828636,11419,Lost Consciousness
2019-12-21,40.70058,-73.80775,11435,Passing or Lane Usage Improper
2019-12-21,40.74273,-73.91499,11377,Driver Inattention/Distraction
2019-12-21,40.704563,-73.91066,11385,Turning Improperly
2019-12-21,40.72145,-73.84399,11375,Passing or Lane Usage Improper
2019-12-21,40.762955,-73.94082,11106,Unspecified
2019-12-21,40.699306,-73.74871,11412,Unspecified
2019-12-21,40.75887,-73.82064,11355,Failure to Yield Right-of-Way
2019-12-21,40.749306,-73.86141,,Driver Inattention/Distraction
2019-12-21,40.66496,-73.82226,,Passing or Lane Usage Improper
2019-12-21,40.68811,-73.819336,11419,Passing Too Closely
2019-12-21,40.712902,-73.90608,11385,Unspecified
2019-12-21,40.680496,-73.821365,11420,Turning Improperly
2019-12-21,40.711884,-73.78748,11432,Driver Inattention/Distraction
2019-12-21,40.717014,-73.7994,,Driver Inattention/Distraction
2019-12-21,40.704823,-73.73999,11429,Driver Inattention/Distraction
2019-12-21,40.77162,-73.87477,,Driver Inattention/Distraction
2019-12-21,40.711266,-73.73357,11429,Unspecified
2019-12-21,40.684425,-73.85949,11416,Driver Inattention/Distraction
2019-12-21,40.76399,-73.93288,,Driver Inattention/Distraction
2019-12-21,40.692886,-73.832184,,Passing or Lane Usage Improper
2019-12-21,40.66684,-73.78941,,Driver Inattention/Distraction
2019-12-21,40.716,-73.74546,,Following Too Closely
2019-12-21,40.73093,-73.864586,11374,Following Too Closely
2019-12-21,40.734318,-73.85548,11375,Driver Inattention/Distraction
2019-12-21,40.75455,-73.74317,,Driver Inattention/Distraction
2019-12-21,40.696484,-73.81275,,Reaction to Uninvolved Vehicle
2019-12-21,40.70755,-73.90404,11385,Unspecified
2019-12-21,40.730137,-73.862366,11374,Driver Inattention/Distraction
2019-12-21,40.74197,-73.84116,,Driver Inattention/Distraction
2019-12-21,,,11361,Failure to Yield Right-of-Way
2019-12-21,40.675323,-73.86332,,Driver Inattention/Distraction
2019-12-21,40.665257,-73.739555,11422,Failure to Yield Right-of-Way
2019-12-21,40.7375,-73.93385,,Following Too Closely
2019-12-21,40.673008,-73.78809,,Driver Inattention/Distraction
2019-12-21,40.679737,-73.76162,,Driver Inattention/Distraction
2019-12-21,40.709415,-73.73239,11429,Unspecified
2019-12-21,,,11385,Unspecified
2019-12-21,40.73191,-73.87124,11374,Driver Inattention/Distraction
2019-12-21,40.664745,-73.74003,11422,Reaction to Uninvolved Vehicle
2019-12-21,40.77074,-73.87841,,Driver Inattention/Distraction
2019-12-21,40.703667,-73.9269,,Failure to Yield Right-of-Way
2019-12-21,40.729683,-73.74473,11427,Driver Inattention/Distraction
