collision_date,latitude,longitude,zip_code,contributing_factor_vehicle_1
2020-06-01,40.58124,-74.09845,10306,Driver Inattention/Distraction
2020-06-01,40.55415,-74.2179,10309,Unsafe Speed
2020-06-02,40.626564,-74.140755,,Driver Inattention/Distraction
2020-06-02,40.56015,-74.19968,,Unspecified
2020-06-02,40.523624,-74.199554,10309,Passing Too Closely
2020-06-02,40.52257,-74.19001,10312,Failure to Yield Right-of-Way
2020-06-02,40.638077,-74.16231,,Driver Inattention/Distraction
2020-06-02,40.586754,-74.199554,,Driver Inattention/Distraction
2020-06-02,40.636623,-74.08179,10301,Failure to Yield Right-of-Way
2020-06-02,40.570465,-74.10977,10306,Unspecified
2020-06-03,40.557182,-74.19948,,Outside Car Distraction
2020-06-03,40.56572,-74.129425,10306,Unspecified
2020-06-03,40.577946,-74.102325,10306,Brakes Defective
2020-06-03,40.55298,-74.190285,10309,Driver Inattention/Distraction
2020-06-03,40.61026,-74.097496,10304,Following Too Closely
2020-06-03,40.624157,-74.094154,10301,Other Vehicular
2020-06-03,40.556576,-74.200066,,Unspecified
2020-06-04,40.61023,-74.10529,,Passing or Lane Usage Improper
2020-06-04,,,10304,Unspecified
2020-06-04,40.553978,-74.18576,,Obstruction/Debris
2020-06-04,40.611313,-74.09844,,Other Vehicular
2020-06-04,40.629284,-74.083885,10304,Unsafe Speed
2020-06-04,40.566494,-74.11377,10306,Failure to Yield Right-of-Way
2020-06-04,40.63804,-74.08745,10301,Driver Inattention/Distraction
2020-06-05,40.514362,-74.24629,,Alcohol Involvement
2020-06-05,40.61246,-74.069336,10305,Driver Inattention/Distraction
2020-06-05,40.52257,-74.19001,10312,Pavement Slippery
2020-06-05,40.577946,-74.102325,10306,Driver Inattention/Distraction
2020-06-05,40.63159,-74.16039,,Unspecified
2020-06-05,40.60595,-74.07601,,Unsafe Lane Changing
2020-06-05,40.536247,-74.23941,10309,Unspecified
2020-06-05,40.56144,-74.15483,10308,Traffic Control Disregarded
2020-06-05,40.611427,-74.116844,10314,Traffic Control Disregarded
2020-06-05,40.601803,-74.16444,,Failure to Yield Right-of-Way
2020-06-05,40.553562,-74.15024,10308,Reaction to Uninvolved Vehicle
2020-06-06,40.609104,-74.12637,10314,Unspecified
2020-06-06,40.546955,-74.18129,,Failure to Yield Right-of-Way
2020-06-06,40.520916,-74.235115,,Unspecified
2020-06-06,40.61118,-74.15261,,Following Too Closely
2020-06-06,40.60702,-74.16384,,Passing or Lane Usage Improper
2020-06-06,40.61439,-74.15767,,Driver Inattention/Distraction
2020-06-06,40.58382,-74.16879,,Failure to Yield Right-of-Way
2020-06-06,40.584793,-74.16034,,Driver Inattention/Distraction
2020-06-06,40.560898,-74.1271,10306,Failure to Yield Right-of-Way
2020-06-06,40.634293,-74.10047,10301,Driver Inattention/Distraction
2020-06-06,40.573303,-74.1151,10306,Passing Too Closely
2020-06-06,40.62782,-74.12126,10310,Unsafe Speed
2020-06-06,40.529453,-74.211006,10309,Unspecified
2020-06-07,40.611313,-74.09844,,Driver Inattention/Distraction
2020-06-07,40.561512,-74.171844,10312,Driver Inattention/Distraction
2020-06-07,40.592648,-74.06827,10305,Backing Unsafely
2020-06-07,40.62653,-74.16051,,Driver Inattention/Distraction
2020-06-07,40.61964,-74.15788,,Unspecified
2020-06-07,40.5983,-74.19076,,Unsafe Speed
2020-06-07,40.586956,-74.11046,10304,Unsafe Speed
2020-06-08,40.579372,-74.16948,,Reaction to Uninvolved Vehicle
2020-06-08,40.59742,-74.06836,10305,Driver Inattention/Distraction
2020-06-08,40.600136,-74.11303,,Following Too Closely
2020-06-08,40.608833,-74.12118,,Following Too Closely
2020-06-08,40.535835,-74.19378,10312,Traffic Control Disregarded
2020-06-08,40.593582,-74.06261,,Unspecified
2020-06-08,40.570465,-74.10977,,Illnes
2020-06-09,40.55841,-74.16933,10312,Unspecified
2020-06-09,40.615597,-74.06317,10305,Driver Inattention/Distraction
2020-06-09,40.59148,-74.18707,,Unspecified
2020-06-09,40.627365,-74.166565,,Driver Inattention/Distraction
2020-06-09,40.5376,-74.18291,10312,Backing Unsafely
2020-06-09,40.61619,-74.13898,,Driver Inattention/Distraction
2020-06-09,40.6259,-74.08873,10301,Unspecified
2020-06-09,40.62708,-74.15788,,Driver Inattention/Distraction
2020-06-09,40.55733,-74.153015,10308,Traffic Control Disregarded
2020-06-09,40.606884,-74.06872,10305,Alcohol Involvement
2020-06-09,40.628197,-74.0764,10304,Drugs (illegal)
2020-06-09,40.62474,-74.12785,10310,Illnes
2020-06-10,40.640274,-74.13504,,Driver Inattention/Distraction
2020-06-10,40.575615,-74.16678,,Driver Inattention/Distraction
2020-06-10,40.612686,-74.12771,10314,Reaction to Uninvolved Vehicle
2020-06-10,40.61658,-74.08275,10304,Driver Inattention/Distraction
2020-06-10,40.585266,-74.15045,,Driver Inattention/Distraction
2020-06-10,40.616833,-74.06818,10305,Failure to Yield Right-of-Way
2020-06-10,40.636944,-74.093506,10301,Unspecified
2020-06-10,40.592907,-74.06337,10305,Unsafe Speed
2020-06-10,40.621002,-74.14929,,Driver Inattention/Distraction
2020-06-10,40.595966,-74.0802,10305,Driver Inattention/Distraction
2020-06-10,40.62016,-74.07341,10304,Driver Inattention/Distraction
