collision_date,latitude,longitude,zip_code,contributing_factor_vehicle_1
2019-12-01,40.636276,-74.140274,,Driver Inattention/Distraction
2019-12-01,40.606934,-74.06088,10305,Unspecified
2019-12-01,40.620827,-74.0819,10304,Unspecified
2019-12-01,,,10309,Other Vehicular
2019-12-01,40.637257,-74.121666,10310,Unspecified
2019-12-01,40.58479,-74.0885,10305,Driver Inattention/Distraction
2019-12-01,40.616413,-74.103516,,Turning Improperly
2019-12-01,40.612827,-74.15195,,Unspecified
2019-12-01,40.611942,-74.15944,,Pavement Slippery
2019-12-01,40.626495,-74.10492,10310,Driver Inexperience
2019-12-01,40.576504,-74.1037,10306,Failure to Yield Right-of-Way
2019-12-01,40.59517,-74.1599,,Driver Inattention/Distraction
2019-12-02,40.615993,-74.16361,,Passing Too Closely
2019-12-02,40.608833,-74.12118,10314,View Obstructed/Limited
2019-12-02,40.609364,-74.12128,,View Obstructed/Limited
2019-12-02,40.610172,-74.12146,,View Obstructed/Limited
2019-12-02,40.63379,-74.142784,,Following Too Closely
2019-12-02,40.56015,-74.19968,,Driver Inattention/Distraction
2019-12-02,40.56025,-74.16974,10312,Driver Inattention/Distraction
2019-12-02,40.629566,-74.12343,10310,Steering Failure
2019-12-02,40.608852,-74.15334,,Unspecified
2019-12-02,40.613415,-74.18436,,Pavement Slippery
2019-12-02,40.56404,-74.18728,10312,Other Vehicular
2019-12-02,40.632744,-74.123985,10310,Unspecified
2019-12-02,40.634575,-74.14584,,Traffic Control Disregarded
2019-12-02,40.607895,-74.10154,10301,Pavement Slippery
2019-12-02,40.631763,-74.098,10301,Pavement Slippery
2019-12-02,40.629314,-74.08521,10304,Pavement Slippery
2019-12-02,40.548,-74.2152,10309,Unspecified
2019-12-02,40.53634,-74.20836,,Lost Consciousness
2019-12-02,40.608063,-74.16231,,Pavement Slippery
2019-12-02,40.64052,-74.171295,,Driver Inattention/Distraction
2019-12-02,40.618732,-74.17606,,Pavement Slippery
2019-12-02,40.60257,-74.07597,,Unspecified
2019-12-02,40.60168,-74.1633,,Driver Inattention/Distraction
2019-12-02,40.564537,-74.13171,10306,Brakes Defective
2019-12-02,40.646458,-74.0893,10301,Driver Inexperience
2019-12-02,40.63338,-74.08774,10301,Unspecified
2019-12-03,40.602497,-74.09273,10304,Turning Improperly
2019-12-03,40.59028,-74.15587,,Unspecified
2019-12-03,40.59589,-74.085884,10305,Turning Improperly
2019-12-03,40.59841,-74.08393,10305,Backing Unsafely
2019-12-03,40.625347,-74.15081,,Driver Inattention/Distraction
2019-12-03,40.61082,-74.16479,,Backing Unsafely
2019-12-03,40.642113,-74.07821,10301,Driver Inattention/Distraction
2019-12-03,40.638237,-74.108696,10310,Unspecified
2019-12-03,40.64644,-74.07884,,Driver Inattention/Distraction
2019-12-03,40.60617,-74.12484,,View Obstructed/Limited
2019-12-03,40.608223,-74.1294,,Passing Too Closely
2019-12-03,40.636024,-74.13477,,Driver Inattention/Distraction
2019-12-03,40.62404,-74.15192,,Unspecified
2019-12-03,40.590237,-74.155754,,Unspecified
2019-12-03,40.6041,-74.06908,,Following Too Closely
2019-12-03,40.631157,-74.14692,,Driver Inattention/Distraction
2019-12-04,40.648228,-74.086136,10301,Pavement Defective
2019-12-04,40.60453,-74.12079,,Driver Inattention/Distraction
2019-12-04,40.626324,-74.131516,,Unsafe Speed
2019-12-04,40.562294,-74.10618,10306,Failure to Yield Right-of-Way
2019-12-04,40.617413,-74.13222,,Driver Inattention/Distraction
2019-12-04,40.588146,-74.193695,,Driver Inattention/Distraction
2019-12-04,40.604786,-74.08447,10304,Failure to Yield Right-of-Way
2019-12-04,40.63697,-74.15141,,Passing or Lane Usage Improper
2019-12-04,40.607655,-74.13398,,Driver Inexperience
2019-12-04,40.627052,-74.16485,,Unspecified
2019-12-04,,,10309,Unspecified
2019-12-04,40.608852,-74.15334,,Driver Inattention/Distraction
2019-12-04,40.564384,-74.13186,10306,Following Too Closely
2019-12-04,40.59791,-74.08361,10305,Following Too Closely
2019-12-04,40.60805,-74.15736,,Driver Inattention/Distraction
2019-12-04,40.63792,-74.086365,10301,Unspecified
2019-12-04,40.636833,-74.08417,10301,Unspecified
2019-12-04,40.610256,-74.0973,,Passing or Lane Usage Improper
2019-12-04,40.635307,-74.125755,10310,Unspecified
2019-12-05,40.598293,-74.12475,,Alcohol Involvement
2019-12-05,40.5591,-74.11792,10306,Failure to Yield Right-of-Way
2019-12-05,40.505062,-74.24051,10307,Failure to Yield Right-of-Way
2019-12-05,40.531433,-74.20688,,Unsafe Lane Changing
2019-12-05,40.56028,-74.1659,10312,Following Too Closely
2019-12-05,40.603832,-74.06895,,Following Too Closely
2019-12-05,40.632023,-74.10599,10310,Failure to Yield Right-of-Way
2019-12-05,40.61074,-74.09583,,Drugs (illegal)
2019-12-05,40.593166,-74.09303,10304,Unspecified
2019-12-05,40.571995,-74.12122,10306,Traffic Control Disregarded
2019-12-05,40.624218,-74.15518,,Driver Inattention/Distraction
2019-12-05,40.572754,-74.11404,10306,Failure to Yield Right-of-Way
2019-12-05,40.59075,-74.08837,10305,Alcohol Involvement
2019-12-05,40.603962,-74.083664,10304,Driver Inattention/Distraction
2019-12-05,40.645664,-74.08538,10301,Unspecified
2019-12-05,40.603615,-74.06931,10305,Failure to Yield Right-of-Way
2019-12-05,40.607857,-74.121086,,Backing Unsafely
2019-12-05,40.632187,-74.134514,,Driver Inexperience
2019-12-05,40.52327,-74.23488,10309,Unspecified
2019-12-05,40.585304,-74.147255,,Unspecified
2019-12-05,40.543224,-74.17712,10312,Unspecified
2019-12-06,40.570465,-74.10977,10306,Driver Inattention/Distraction
2019-12-06,40.625786,-74.15491,,Driver Inattention/Distraction
2019-12-06,40.630566,-74.1524,,Unspecified
2019-12-06,40.605423,-74.072464,,Following Too Closely
2019-12-06,40.621582,-74.08233,10304,Unspecified
2019-12-06,40.621395,-74.08221,10304,Unspecified
2019-12-06,40.624435,-74.13687,,Driver Inattention/Distraction
2019-12-06,40.57715,-74.16407,,Unspecified
2019-12-06,40.63317,-74.08638,10301,Failure to Yield Right-of-Way
2019-12-06,40.592422,-74.0948,10304,Reaction to Uninvolved Vehicle
