date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2020-06-01,2020,06,01,55.4,38.1,1019.9,10.0,11.1,19,25.1,66.9,48.9,0.0,999.9,0
2020-06-02,2020,06,02,57.1,46.6,1016.0,10.0,7.6,11.1,999.9,62.1,48.9,0.0,999.9,0
2020-06-03,2020,06,03,59.2,56.3,1005.6,9.2,9.8,15,999.9,66.9,53.1,0.05,999.9,1
2020-06-04,2020,06,04,64.4,60.4,1009.3,9.0,8.9,13,999.9,73.9,55.9,0.03,999.9,0
2020-06-05,2020,06,05,60.4,58.9,1013.8,3.9,7.4,11.1,999.9,73.9,59.0,0.0,999.9,1
2020-06-06,2020,06,06,61.2,59.5,1010.2,1.6,9.3,13,999.9,64.9,59.0,0.45,999.9,1
2020-06-07,2020,06,07,62.2,56.2,1007.9,8.8,12.3,18.1,22.9,66.0,57.9,0.01,999.9,1
2020-06-08,2020,06,08,62.6,51.1,1013.8,10.0,7.3,11.1,15.0,73.0,55.9,0.0,999.9,1
2020-06-09,2020,06,09,61.9,55.5,1013.6,10.0,6.5,8.9,999.9,73.0,55.0,0.0,999.9,0
2020-06-10,2020,06,10,60.3,56.9,1016.5,7.0,7.5,12,999.9,72.0,55.9,0.0,999.9,1
2020-06-11,2020,06,11,63.6,60.1,1019.7,6.6,12.7,19,24.1,70.0,57.9,0.0,999.9,1
2020-06-12,2020,06,12,63.1,61.3,1018.6,3.2,7.9,13,999.9,70.0,59.0,0.04,999.9,1
2020-06-13,2020,06,13,62.5,53.1,1019.9,7.3,8.5,14,999.9,70.0,53.1,0.04,999.9,1
2020-06-14,2020,06,14,60.9,51.4,1025.9,10.0,13.3,20,24.1,70.0,53.1,0.0,999.9,0
2020-06-15,2020,06,15,58.3,53.4,1028.5,8.1,15.4,19,25.1,63.0,55.4,0.0,999.9,0
2020-06-16,2020,06,16,59.9,51.5,1028.0,10.0,11.2,18.1,22.0,69.1,51.1,0.0,999.9,0
2020-06-17,2020,06,17,61.2,53.9,1025.2,10.0,8.3,12,999.9,71.1,52.0,0.0,999.9,0
2020-06-18,2020,06,18,59.8,59.4,1023.3,3.7,4.8,8.9,999.9,71.1,53.1,0.0,999.9,1
2020-06-19,2020,06,19,63.9,61.5,1020.5,3.5,7.7,12,999.9,73.0,54.0,0.0,999.9,1
2020-06-20,2020,06,20,64.8,61.5,1018.1,6.6,9.1,15,999.9,73.9,60.1,0.0,999.9,1
2020-06-21,2020,06,21,65.2,62.5,1016.7,5.8,6.3,8.9,999.9,75.9,60.1,0.0,999.9,1
2020-06-22,2020,06,22,68.6,63.4,1014.7,9.7,3.9,8,999.9,75.9,62.1,0.0,999.9,0
2020-06-23,2020,06,23,63.5,61.3,1011.9,2.3,5,11.1,999.9,75.9,59.0,0.0,999.9,1
2020-06-24,2020,06,24,66.4,64.3,1007.8,1.5,9.8,13,999.9,71.1,59.0,0.0,999.9,1
2020-06-25,2020,06,25,67.8,62.5,1013.3,9.1,7.5,13,999.9,77.0,61.0,0.0,999.9,0
2020-06-26,2020,06,26,66.7,61.7,1014.8,9.6,7.8,12,999.9,77.0,61.0,0.0,999.9,0
2020-06-27,2020,06,27,66.6,63.7,1011.2,6.8,7.2,13,999.9,73.0,62.1,0.0,999.9,1
2020-06-28,2020,06,28,68.0,65.1,1007.5,6.9,8,15,20.0,73.0,62.1,0.41,999.9,1
2020-06-29,2020,06,29,67.1,64.7,1008.0,5.5,5.5,14,999.9,73.9,64.9,0.39,999.9,1
2020-06-30,2020,06,30,66.3,62.4,1011.4,7.9,5.6,11.1,999.9,73.9,62.1,0.13,999.9,0
2020-07-01,2020,07,01,64.4,61.5,1011.7,6.0,4.7,9.9,999.9,73.0,60.1,0.0,999.9,1
2020-07-02,2020,07,02,68.2,64.4,1009.2,7.8,7.7,13,999.9,75.0,60.1,0.0,999.9,1
2020-07-03,2020,07,03,69.5,66.2,1008.6,7.0,9.8,18.1,22.9,77.0,64.0,0.0,999.9,1
2020-07-04,2020,07,04,66.1,63.5,1012.1,5.1,8.9,13,999.9,77.0,60.1,0.0,999.9,1
2020-07-05,2020,07,05,63.1,61.0,1015.0,4.4,5,11.1,999.9,73.0,60.1,0.0,999.9,1
2020-07-06,2020,07,06,67.9,64.1,1016.9,6.4,9.1,19,22.9,75.0,60.1,0.0,999.9,1
2020-07-07,2020,07,07,60.1,56.3,1021.9,8.9,7.9,12,999.9,75.0,55.9,0.0,999.9,0
2020-07-08,2020,07,08,68.1,63.9,1018.2,9.9,9.8,13,999.9,73.9,55.9,0.0,999.9,0
2020-07-09,2020,07,09,70.9,67.4,1016.6,8.2,7.7,11.1,999.9,78.1,64.9,0.0,999.9,0
