date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2019-12-01,2019,12,01,36.7,26.8,1014.3,10.0,7.5,15.0,19.0,42.1,30.0,0.0,999.9,0
2019-12-02,2019,12,02,44.8,41.3,996.1,4.3,20.5,28.0,36.9,46.9,30.0,0.67,999.9,0
2019-12-03,2019,12,03,39.9,36.3,990.8,5.2,18.6,27.0,34.0,48.2,33.1,0.6,999.9,0
2019-12-04,2019,12,04,36.6,27.4,998.7,10.0,7.5,17.1,24.1,48.0,32.0,0.23,999.9,0
2019-12-05,2019,12,05,39.6,30.2,1002.0,10.0,8.4,15.9,24.1,46.0,32.0,0.0,999.9,0
2019-12-06,2019,12,06,38.3,25.4,1016.2,10.0,14.2,19.0,33.0,48.0,32.0,0.0,999.9,0
2019-12-07,2019,12,07,36.4,25.7,1022.2,10.0,12.9,21.0,28.0,48.9,27.0,0.03,999.9,0
2019-12-08,2019,12,08,31.8,19.5,1032.5,10.0,8.7,15.0,19.0,41.0,21.9,0.0,999.9,0
2019-12-09,2019,12,09,48.2,43.6,1024.0,7.3,13.5,18.1,25.1,52.0,39.9,0.0,999.9,0
2019-12-10,2019,12,10,53.1,51.0,1010.4,1.8,16.0,26.0,34.0,55.4,51.1,0.98,999.9,1
2019-12-11,2019,12,11,39.9,36.7,1020.1,4.9,10.5,20.0,28.0,55.0,30.0,0.12,999.9,0
2019-12-12,2019,12,12,31.1,19.7,1034.8,10.0,11.7,20.0,27.0,45.0,25.0,0.0,999.9,0
2019-12-13,2019,12,13,38.7,31.8,1033.4,9.8,10.3,18.1,25.1,50.0,21.9,0.0,999.9,0
2019-12-14,2019,12,14,52.7,51.3,1010.4,3.1,16.5,28.9,40.0,57.2,48.9,2.15,999.9,1
2019-12-15,2019,12,15,47.7,38.4,1001.7,8.0,19.8,27.0,35.9,57.9,44.1,0.84,999.9,1
2019-12-16,2019,12,16,35.4,19.8,1020.9,10.0,11.0,22.0,32.1,48.9,32.0,0.0,999.9,0
2019-12-17,2019,12,17,37.5,32.0,1012.7,7.3,7.3,14.0,19.0,45.0,30.0,0.2,999.9,0
2019-12-18,2019,12,18,39.3,35.2,1004.4,7.6,12.5,18.1,24.1,45.0,30.0,0.55,999.9,0
2019-12-19,2019,12,19,24.2,8.3,1016.0,10.0,18.4,22.0,39.0,43.0,17.1,0.04,999.9,0
2019-12-20,2019,12,20,24.2,11.6,1027.8,10.0,13.5,21.0,28.9,30.0,17.1,0.0,999.9,0
2019-12-21,2019,12,21,33.3,25.6,1035.1,10.0,5.2,8.9,999.9,39.9,19.9,0.0,999.9,0
2019-12-22,2019,12,22,41.3,34.9,1026.8,9.6,9.1,15.0,999.9,46.9,28.9,0.0,999.9,0
2019-12-23,2019,12,23,44.3,38.3,1017.8,7.5,11.4,15.9,999.9,50.0,37.9,0.0,999.9,0
2019-12-24,2019,12,24,42.8,33.7,1015.2,10.0,12.0,18.1,22.0,50.0,34.0,0.0,999.9,0
2019-12-25,2019,12,25,35.6,28.9,1022.2,10.0,4.7,8.0,999.9,46.9,28.0,0.0,999.9,0
2019-12-26,2019,12,26,35.9,30.3,1025.7,10.0,5.9,14.0,999.9,46.4,28.9,0.0,999.9,0
2019-12-27,2019,12,27,40.1,35.0,1026.1,10.0,7.6,12.0,999.9,48.0,28.9,0.0,999.9,0
2019-12-28,2019,12,28,44.5,39.1,1019.1,9.0,9.1,14.0,999.9,48.2,37.0,0.0,999.9,0
2019-12-29,2019,12,29,38.4,30.4,1021.7,10.0,6.8,11.1,999.9,48.0,30.9,0.0,999.9,0
2019-12-30,2019,12,30,39.6,36.3,1017.1,5.2,13.0,25.1,35.0,45.0,30.9,0.39,999.9,0
2019-12-31,2019,12,31,44.7,42.6,1002.6,4.8,14.7,31.1,39.0,52.0,37.9,0.88,999.9,1
